Disease Name,Common Symptoms,Patient Reported Symptoms,Additional Symptoms,Severity,Possible Causes
Vasomotor Rhinitis,"Watery eyes, nasal itching","Excessive tearing, itching in nose","Headache, dizziness",Mild,Non-allergic triggers
Nasal Polyps,"Nasal congestion, runny nose","Stuffy nose, persistent drainage","Facial pressure, loss of smell",Moderate,Chronic sinus inflammation
Nasal Polyps,"Postnasal drip, headache","Constant mucus dripping in throat, headache","Sneezing, mild fever",Mild,"Allergies, asthma"
Vestibular Neuritis,"Vertigo, dizziness","Sudden spinning sensation, trouble standing","Nausea, balance issues",Severe,Viral infection affecting inner ear
Vestibular Neuritis,"Hearing loss, tinnitus","Muffled hearing, ringing in ears","Blurred vision, motion sickness",Moderate,Inflammation of vestibular nerve
Perforated Eardrum,"Ear pain, hearing loss","Sudden earache followed by relief, reduced hearing","Tinnitus, dizziness",Moderate,"Ear infections, loud noises"
Perforated Eardrum,"Fluid leakage, ear ringing","Clear fluid or pus from ear, buzzing sounds","Vertigo, nausea",Severe,"Head trauma, barotrauma"
Snoring,"Loud breathing at night, dry throat","Frequent loud snoring, waking up with dry mouth","Daytime drowsiness, headaches",Mild,"Obesity, nasal obstruction"
Snoring,"Nasal congestion, mouth breathing","Difficulty breathing through nose, sleeping with mouth open","Restless sleep, frequent awakenings",Moderate,Chronic allergies
Tonsil Stones (Tonsilloliths),"Bad breath, throat discomfort","Persistent foul breath, irritation in throat","White debris in tonsils, difficulty swallowing",Mild,Bacterial buildup
Tonsil Stones (Tonsilloliths),"Sensation of something stuck, mild pain","Foreign body sensation in throat, occasional pain","Ear discomfort, coughing",Moderate,Chronic tonsillitis
Labyrinthitis,"Vertigo, dizziness","Spinning sensation, balance issues","Nausea, hearing loss",Moderate,Viral infections
Labyrinthitis,"Hearing impairment, ear pain","Partial hearing loss, discomfort in ear","Tinnitus, headaches",Severe,Bacterial infections
Deviated Nasal Septum,"Nasal congestion, breathing difficulty","Blocked nose, trouble breathing through one nostril","Frequent nosebleeds, snoring",Moderate,Congenital or trauma-related
Deviated Nasal Septum,"Sinus infections, facial pain","Recurring sinusitis, pressure in face","Postnasal drip, nasal dryness",Mild,Birth defect or injury
Mastoiditis,"Ear pain, swelling","Severe pain behind ear, swelling","Fever, drainage from ear",Severe,Untreated ear infections
Mastoiditis,"Hearing loss, ear redness","Reduced hearing, inflamed skin around ear","Headaches, dizziness",Moderate,Bacterial middle ear infection
Earwax Impaction,"Hearing loss, ear fullness","Difficulty hearing, sensation of plugged ear","Tinnitus, mild dizziness",Mild,Excessive earwax production
Earwax Impaction,"Ear discomfort, itching","Persistent itching in ear, minor pain","Cough, balance issues",Moderate,Improper ear cleaning
Nasal Vestibulitis,"Redness, nasal swelling","Painful nose swelling, irritation","Crusting, mild bleeding",Moderate,Bacterial infection
Nasal Vestibulitis,"Nasal tenderness, pimples",Painful bumps inside nostrils,"Dryness, inflammation",Mild,Frequent nose picking
Nasal Septal Hematoma,"Nasal pain, blocked nose","Tenderness in nose, breathing difficulty","Facial swelling, headache",Moderate,Nasal injury
Nasal Septal Hematoma,"Bruising, nasal congestion","Swelling inside nose, blocked airflow","Fever, pressure behind eyes",Severe,"Trauma, surgery complications"
Sinusitis,"Facial pain, sinus pressure","Headache, swelling around sinuses","Postnasal drip, congestion",Moderate,Bacterial infections
Sinusitis,"Runny nose, bad breath","Persistent nasal discharge, foul breath","Fatigue, ear pain",Severe,Viral infections
Salivary Gland Disorders,"Dry mouth, swelling","Decreased saliva, swollen salivary glands","Pain while eating, jaw discomfort",Moderate,Salivary gland stones
Salivary Gland Disorders,"Pus drainage, fever","White or yellow discharge from gland, high fever","Facial swelling, difficulty opening mouth",Severe,Bacterial infections
Obstructive Sleep Apnea,"Loud snoring, daytime fatigue","Gasping for air during sleep, tiredness","Morning headaches, dry mouth",Moderate,"Obesity, narrowed airway"
Obstructive Sleep Apnea,"Pauses in breathing, restless sleep","Interrupted breathing at night, frequent awakenings","Memory problems, irritability",Severe,"Enlarged tonsils, aging"
Ear Infection (Otitis Media),"Ear pain, fluid drainage","Throbbing earache, discharge from ear","Fever, hearing loss",Moderate,Bacterial or viral infection
Ear Infection (Otitis Media),"Fullness in ear, reduced hearing","Pressure sensation in ear, muffled sounds","Dizziness, fever",Severe,Eustachian tube dysfunction
Recurrent Respiratory Papillomatosis,"Hoarseness, difficulty breathing","Chronic hoarseness, shortness of breath","Coughing, voice changes",Moderate,HPV infection
Recurrent Respiratory Papillomatosis,"Wheezing, voice fatigue","Noisy breathing, vocal strain","Frequent throat clearing, swallowing difficulty",Severe,Vertical HPV transmission
Rhinosinusitis,"Sinus pressure, nasal congestion","Headache, blocked nose","Cough, fatigue",Moderate,Bacterial or viral infection
Rhinosinusitis,"Postnasal drip, facial pain","Thick mucus dripping into throat, sinus pain","Ear pain, bad breath",Severe,"Allergies, structural nasal issues"
Spasmodic Dysphonia,"Voice breaks, strained voice","Uncontrolled voice interruptions, vocal strain","Throat discomfort, effortful speech",Moderate,Neurological disorder
Spasmodic Dysphonia,"Breathy voice, difficulty speaking","Weak, whispery voice, struggling to talk","Tremors, vocal fatigue",Severe,Spasms in laryngeal muscles
Dizziness,"Lightheadedness, unsteadiness","Feeling faint, loss of balance","Blurred vision, nausea",Moderate,Low blood pressure
Dizziness,"Vertigo, spinning sensation",Feeling like the room is moving,"Sweating, ringing in ears",Severe,Inner ear disorders
Globus Sensation,"Lump in throat, difficulty swallowing",Feeling of a persistent lump in throat,"Tightness, throat clearing",Mild,Stress and anxiety
Globus Sensation,"Throat tightness, choking sensation",Feeling of throat constriction,"Dry mouth, hoarseness",Moderate,Gastroesophageal reflux disease (GERD)
Oral Cancer,"Mouth sores, difficulty chewing","Non-healing ulcers, pain while eating","Lump in mouth, voice changes",Severe,"Tobacco, alcohol use"
Oral Cancer,"Bleeding gums, red/white patches","Unexplained bleeding, discoloration inside mouth","Weight loss, jaw stiffness",Moderate,HPV infection
Neck Masses,"Swollen lymph nodes, lump in neck","Painless swelling in neck, firm lump","Fever, difficulty swallowing",Moderate,"Infections, tumors"
Neck Masses,"Tender lump, trouble moving neck","Painful mass in neck, stiffness","Night sweats, weight loss",Severe,"Cancer, cysts"
Ranula,"Soft swelling under tongue, difficulty swallowing","Painless cyst under tongue, trouble eating","Saliva accumulation, speech issues",Moderate,Blocked salivary gland
Ranula,"Mouth discomfort, recurrent cysts","Mild pain in mouth, frequent fluid-filled cysts","Facial swelling, tongue movement difficulty",Severe,"Trauma, duct obstruction"
Tinnitus,"Ringing in ears, hearing loss",Constant buzzing or ringing sound,"Dizziness, sensitivity to sound",Moderate,"Loud noise exposure, ear infections"
Tinnitus,"Pulsating noise, ear fullness",Hearing a rhythmic sound matching heartbeat,"Headaches, vertigo",Severe,Circulatory disorders
Tonsillitis,"Sore throat, swollen tonsils","Throat pain, red and inflamed tonsils","Fever, ear pain",Moderate,Viral or bacterial infection
Tonsillitis,"White patches, difficulty swallowing","Visible white spots on tonsils, pain while eating","Bad breath, swollen glands",Severe,Streptococcus bacteria
Sore Throat,"Pain while swallowing, red throat","Throat discomfort, inflamed tonsils","Cough, mild fever",Mild,Viral infections
Sore Throat,"Swollen glands, white patches","Tender lymph nodes, white spots on tonsils","Severe pain, earache",Severe,Bacterial infections (strep)
Vocal Cord Paralysis,"Hoarseness, breathy voice","Weak voice, inability to speak loudly","Frequent throat clearing, choking on liquids",Moderate,"Nerve damage, stroke"
Vocal Cord Paralysis,"Shortness of breath, coughing","Difficulty breathing, persistent cough","Voice fatigue, throat discomfort",Severe,Surgical complications
Oral Candidiasis (Thrush),"White patches on tongue, mouth pain","Creamy lesions in mouth, burning sensation","Difficulty swallowing, bad taste",Moderate,Weak immune system
Oral Candidiasis (Thrush),"Dry mouth, cracked corners of lips","Cottony feeling in mouth, pain while eating","Redness, loss of taste",Mild,"Diabetes, antibiotic use"
Dysphagia,"Difficulty swallowing, choking",Trouble swallowing solid or liquid foods,"Weight loss, throat discomfort",Moderate,Neurological conditions
Dysphagia,"Painful swallowing, food sticking",Feeling like food is stuck in the throat,"Coughing, drooling",Severe,Esophageal strictures
Laryngeal Cancer,"Hoarseness, persistent cough","Chronic voice changes, ongoing cough","Difficulty swallowing, weight loss",Severe,"Smoking, alcohol use"
Laryngeal Cancer,"Lump in throat, shortness of breath","Sensation of lump, trouble breathing","Ear pain, throat pain",Moderate,HPV infection
Velopharyngeal Insufficiency,"Nasal speech, air escape","Hypernasal voice, air leaking through nose while talking","Difficulty swallowing, speech delay",Moderate,Cleft palate
Velopharyngeal Insufficiency,"Hoarseness, choking on liquids","Weak voice, liquid coming out of nose while drinking","Frequent ear infections, nasal congestion",Severe,Neuromuscular disorders
Acute Otitis Media,ear pain; fever; hearing loss; irritability,ear pain; fever,headache; loss of appetite,Moderate,"bacterial infection (e.g., Streptococcus pneumoniae) after a cold"
Acute Otitis Media,ear pain; fever; hearing loss; irritability,fever,loss of appetite; ear discharge,Moderate,viral upper respiratory infection
Acute Otitis Media,ear pain; fever; hearing loss; irritability,irritability; ear pain,,Severe,"bacterial infection (e.g., Streptococcus pneumoniae) after a cold"
Acute Otitis Media,ear pain; fever; hearing loss; irritability,hearing loss,ear discharge; loss of appetite,Severe,"bacterial infection (e.g., Streptococcus pneumoniae) after a cold"
Acute Otitis Media,ear pain; fever; hearing loss; irritability,fever; hearing loss,ear discharge; headache,Severe,viral upper respiratory infection
Acute Otitis Media,ear pain; fever; hearing loss; irritability,ear pain; hearing loss,,Mild,viral upper respiratory infection
Acute Otitis Media,ear pain; fever; hearing loss; irritability,fever; irritability,,Severe,"bacterial infection (e.g., Streptococcus pneumoniae) after a cold"
Acute Otitis Media,ear pain; fever; hearing loss; irritability,ear pain,loss of appetite; headache,Moderate,"bacterial infection (e.g., Streptococcus pneumoniae) after a cold"
Acute Otitis Media,ear pain; fever; hearing loss; irritability,hearing loss,ear discharge; headache,Severe,viral upper respiratory infection
Acute Otitis Media,ear pain; fever; hearing loss; irritability,hearing loss; irritability,ear discharge,Mild,"bacterial infection (e.g., Streptococcus pneumoniae) after a cold"
Acute Otitis Media,ear pain; fever; hearing loss; irritability,fever,,Severe,"bacterial infection (e.g., Streptococcus pneumoniae) after a cold"
Acute Otitis Media,ear pain; fever; hearing loss; irritability,hearing loss,ear discharge; loss of appetite,Moderate,viral upper respiratory infection
Acute Otitis Media,ear pain; fever; hearing loss; irritability,fever,loss of appetite,Severe,viral upper respiratory infection
Acute Otitis Media,ear pain; fever; hearing loss; irritability,ear pain; hearing loss,ear discharge,Severe,viral upper respiratory infection
Acute Otitis Media,ear pain; fever; hearing loss; irritability,hearing loss; fever,headache; ear discharge,Severe,"bacterial infection (e.g., Streptococcus pneumoniae) after a cold"
Acute Otitis Media,ear pain; fever; hearing loss; irritability,irritability,,Moderate,viral upper respiratory infection
Acute Otitis Media,ear pain; fever; hearing loss; irritability,hearing loss,ear discharge; loss of appetite,Severe,viral upper respiratory infection
Acute Otitis Media,ear pain; fever; hearing loss; irritability,fever,headache; loss of appetite,Moderate,"bacterial infection (e.g., Streptococcus pneumoniae) after a cold"
Acute Otitis Media,ear pain; fever; hearing loss; irritability,ear pain; fever,,Mild,viral upper respiratory infection
Acute Otitis Media,ear pain; fever; hearing loss; irritability,hearing loss; ear pain,loss of appetite; ear discharge,Severe,"bacterial infection (e.g., Streptococcus pneumoniae) after a cold"
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,hearing loss; ear fullness,,Mild,fluid buildup post ear infection
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,balance issues; hearing loss,ear discomfort,Moderate,allergies leading to eustachian tube blockage
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,hearing loss,,Mild,fluid buildup post ear infection
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,ear fullness,,Mild,allergies leading to eustachian tube blockage
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,ear fullness; balance issues,,Moderate,fluid buildup post ear infection
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,hearing loss; balance issues,ear discomfort,Mild,fluid buildup post ear infection
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,ear fullness; hearing loss,ear discomfort,Moderate,allergies leading to eustachian tube blockage
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,hearing loss,,Mild,allergies leading to eustachian tube blockage
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,balance issues,ear discomfort,Moderate,fluid buildup post ear infection
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,ear fullness; hearing loss,,Moderate,allergies leading to eustachian tube blockage
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,hearing loss; ear fullness,ear discomfort,Moderate,fluid buildup post ear infection
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,ear fullness,,Mild,fluid buildup post ear infection
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,hearing loss,,Moderate,allergies leading to eustachian tube blockage
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,ear fullness; balance issues,,Mild,fluid buildup post ear infection
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,hearing loss; ear fullness,,Moderate,fluid buildup post ear infection
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,ear fullness; balance issues,,Moderate,allergies leading to eustachian tube blockage
Otitis Media with Effusion,hearing loss; ear fullness; balance issues,hearing loss; balance issues,,Moderate,fluid buildup post ear infection
Chronic Otitis Media,persistent ear discharge; hearing loss,persistent ear discharge,intermittent ear pain,Moderate,"chronic bacterial infection (e.g., Pseudomonas)"
Chronic Otitis Media,persistent ear discharge; hearing loss,persistent ear discharge; hearing loss,intermittent ear pain,Moderate,repeated infections with perforation
Chronic Otitis Media,persistent ear discharge; hearing loss,persistent ear discharge,ear fullness; intermittent ear pain,Moderate,repeated infections with perforation
Chronic Otitis Media,persistent ear discharge; hearing loss,persistent ear discharge; hearing loss,ear fullness,Moderate,"chronic bacterial infection (e.g., Pseudomonas)"
Chronic Otitis Media,persistent ear discharge; hearing loss,hearing loss,intermittent ear pain,Moderate,repeated infections with perforation
Chronic Otitis Media,persistent ear discharge; hearing loss,persistent ear discharge,ear fullness,Moderate,"chronic bacterial infection (e.g., Pseudomonas)"
Chronic Otitis Media,persistent ear discharge; hearing loss,hearing loss,intermittent ear pain,Moderate,"chronic bacterial infection (e.g., Pseudomonas)"
Chronic Otitis Media,persistent ear discharge; hearing loss,persistent ear discharge; hearing loss,,Moderate,repeated infections with perforation
Chronic Otitis Media,persistent ear discharge; hearing loss,persistent ear discharge,intermittent ear pain,Moderate,repeated infections with perforation
Chronic Otitis Media,persistent ear discharge; hearing loss,hearing loss,ear fullness,Moderate,repeated infections with perforation
Chronic Otitis Media,persistent ear discharge; hearing loss,persistent ear discharge; hearing loss,,Moderate,"chronic bacterial infection (e.g., Pseudomonas)"
Chronic Otitis Media,persistent ear discharge; hearing loss,hearing loss,ear fullness; intermittent ear pain,Moderate,repeated infections with perforation
Chronic Otitis Media,persistent ear discharge; hearing loss,persistent ear discharge,,Moderate,repeated infections with perforation
Chronic Otitis Media,persistent ear discharge; hearing loss,persistent ear discharge; hearing loss,intermittent ear pain,Moderate,"chronic bacterial infection (e.g., Pseudomonas)"
Chronic Otitis Media,persistent ear discharge; hearing loss,persistent ear discharge; hearing loss,ear fullness,Moderate,repeated infections with perforation
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear pain; ear canal swelling,ear discharge; hearing loss,Moderate,bacterial infection from water exposure
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear canal swelling,,Mild,bacterial infection from water exposure
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear pain; itchiness,ear discharge,Moderate,fungal infection in ear canal
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear canal swelling; itchiness,,Mild,bacterial infection from water exposure
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear pain; ear canal swelling,hearing loss,Severe,bacterial infection from water exposure
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,itchiness; ear canal swelling,,Mild,fungal infection in ear canal
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear pain,ear discharge,Moderate,bacterial infection from water exposure
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear canal swelling; itchiness,ear discharge; hearing loss,Severe,fungal infection in ear canal
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear pain; itchiness,,Mild,bacterial infection from water exposure
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear pain; ear canal swelling,,Moderate,bacterial infection from water exposure
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear canal swelling; itchiness,ear discharge,Moderate,fungal infection in ear canal
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear pain,hearing loss,Moderate,bacterial infection from water exposure
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear pain; ear canal swelling,ear discharge,Severe,bacterial infection from water exposure
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear canal swelling,,Mild,fungal infection in ear canal
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear canal swelling; itchiness,ear discharge,Moderate,bacterial infection from water exposure
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear pain; itchiness,hearing loss,Moderate,fungal infection in ear canal
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear pain; ear canal swelling,ear discharge; hearing loss,Severe,bacterial infection from water exposure
Otitis Externa (Swimmer's Ear),ear pain (outer ear); ear canal swelling; itchiness,ear pain; itchiness,,Mild,fungal infection in ear canal
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear fullness,,Mild,allergies causing tube swelling
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear popping; ear fullness,mild ear pain,Mild,rapid altitude change (airplane)
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear fullness; muffled hearing,,Moderate,allergies causing tube swelling
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear fullness; ear popping,,Mild,rapid altitude change (airplane)
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear fullness; muffled hearing,tinnitus,Mild,allergies causing tube swelling
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear popping,,Mild,rapid altitude change (airplane)
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear fullness; ear popping,mild ear pain,Moderate,allergies causing tube swelling
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,muffled hearing; ear fullness,,Moderate,rapid altitude change (airplane)
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear popping; muffled hearing,,Mild,allergies causing tube swelling
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear fullness; ear popping,tinnitus,Moderate,rapid altitude change (airplane)
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,muffled hearing; ear fullness,,Mild,allergies causing tube swelling
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear fullness; muffled hearing,,Moderate,rapid altitude change (airplane)
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear fullness; ear popping,,Moderate,rapid altitude change (airplane)
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear fullness; ear popping,tinnitus,Mild,allergies causing tube swelling
Eustachian Tube Dysfunction,ear fullness; muffled hearing; ear popping,ear popping; muffled hearing,mild ear pain,Moderate,rapid altitude change (airplane)
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,ear pain,,Moderate,ear infection complication
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,hearing loss,tinnitus,Moderate,barotrauma (pressure change)
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,ear pain; hearing loss,,Moderate,ear infection complication
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,ear pain; hearing loss,tinnitus; dizziness,Moderate,barotrauma (pressure change)
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,hearing loss,ear discharge; tinnitus,Moderate,ear infection complication
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,ear pain,dizziness,Moderate,barotrauma (pressure change)
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,ear pain; hearing loss,ear discharge,Moderate,ear infection complication
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,ear pain; hearing loss,,Moderate,barotrauma (pressure change)
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,hearing loss,tinnitus,Moderate,ear infection complication
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,ear pain; hearing loss,ear discharge; tinnitus,Moderate,barotrauma (pressure change)
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,ear pain; hearing loss,ear discharge; dizziness,Moderate,barotrauma (pressure change)
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,ear pain; hearing loss,tinnitus,Moderate,ear infection complication
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,ear pain; hearing loss,dizziness,Moderate,barotrauma (pressure change)
Tympanic Membrane Perforation,sudden ear pain; ear discharge; hearing loss,ear pain,,Moderate,barotrauma (pressure change)
Cholesteatoma,chronic foul ear discharge; hearing loss,chronic foul ear discharge,,Moderate,chronic ear infection leading to skin cyst
Cholesteatoma,chronic foul ear discharge; hearing loss,chronic foul ear discharge; hearing loss,,Moderate,chronic ear infection leading to skin cyst
Cholesteatoma,chronic foul ear discharge; hearing loss,hearing loss,fullness in ear,Moderate,eustachian tube dysfunction (congenital)
Cholesteatoma,chronic foul ear discharge; hearing loss,chronic foul ear discharge,fullness in ear,Moderate,chronic ear infection leading to skin cyst
Cholesteatoma,chronic foul ear discharge; hearing loss,chronic foul ear discharge; hearing loss,dizziness,Moderate,eustachian tube dysfunction (congenital)
Cholesteatoma,chronic foul ear discharge; hearing loss,hearing loss,,Moderate,chronic ear infection leading to skin cyst
Cholesteatoma,chronic foul ear discharge; hearing loss,chronic foul ear discharge,dizziness,Moderate,eustachian tube dysfunction (congenital)
Cholesteatoma,chronic foul ear discharge; hearing loss,chronic foul ear discharge,fullness in ear,Moderate,eustachian tube dysfunction (congenital)
Cholesteatoma,chronic foul ear discharge; hearing loss,chronic foul ear discharge; hearing loss,dizziness,Moderate,chronic ear infection leading to skin cyst
Cholesteatoma,chronic foul ear discharge; hearing loss,chronic foul ear discharge; hearing loss,fullness in ear,Moderate,eustachian tube dysfunction (congenital)
Cholesteatoma,chronic foul ear discharge; hearing loss,hearing loss,,Moderate,eustachian tube dysfunction (congenital)
Cholesteatoma,chronic foul ear discharge; hearing loss,hearing loss,fullness in ear,Moderate,chronic ear infection leading to skin cyst
Cholesteatoma,chronic foul ear discharge; hearing loss,chronic foul ear discharge,,Moderate,eustachian tube dysfunction (congenital)
Cholesteatoma,chronic foul ear discharge; hearing loss,chronic foul ear discharge; hearing loss,fullness in ear,Moderate,chronic ear infection leading to skin cyst
Cholesteatoma,chronic foul ear discharge; hearing loss,chronic foul ear discharge,dizziness,Moderate,chronic ear infection leading to skin cyst
Mastoiditis,ear pain behind ear; fever; ear redness/swelling,ear pain behind ear; fever,protruding ear,Severe,untreated middle ear infection spread to mastoid
Mastoiditis,ear pain behind ear; fever; ear redness/swelling,ear redness/swelling; ear pain behind ear,protruding ear; headache,Severe,untreated middle ear infection spread to mastoid
Mastoiditis,ear pain behind ear; fever; ear redness/swelling,ear pain behind ear; fever,headache,Severe,untreated middle ear infection spread to mastoid
Mastoiditis,ear pain behind ear; fever; ear redness/swelling,ear pain behind ear; fever,protruding ear; headache,Severe,untreated middle ear infection spread to mastoid
Mastoiditis,ear pain behind ear; fever; ear redness/swelling,ear redness/swelling; fever,protruding ear,Severe,untreated middle ear infection spread to mastoid
Mastoiditis,ear pain behind ear; fever; ear redness/swelling,ear redness/swelling; ear pain behind ear,protruding ear,Severe,untreated middle ear infection spread to mastoid
Mastoiditis,ear pain behind ear; fever; ear redness/swelling,ear redness/swelling; fever,headache,Severe,untreated middle ear infection spread to mastoid
Mastoiditis,ear pain behind ear; fever; ear redness/swelling,ear redness/swelling; ear pain behind ear,headache,Severe,untreated middle ear infection spread to mastoid
Otosclerosis,gradual hearing loss; tinnitus,gradual hearing loss; tinnitus,,Moderate,abnormal bone growth in middle ear
Otosclerosis,gradual hearing loss; tinnitus,gradual hearing loss,dizziness (rare),Moderate,genetic predisposition
Otosclerosis,gradual hearing loss; tinnitus,gradual hearing loss; tinnitus,,Mild,genetic predisposition
Otosclerosis,gradual hearing loss; tinnitus,tinnitus,,Mild,abnormal bone growth in middle ear
Otosclerosis,gradual hearing loss; tinnitus,gradual hearing loss; tinnitus,,Moderate,genetic predisposition
Otosclerosis,gradual hearing loss; tinnitus,gradual hearing loss,normal ear exam,Moderate,abnormal bone growth in middle ear
Otosclerosis,gradual hearing loss; tinnitus,gradual hearing loss,dizziness (rare),Mild,genetic predisposition
Otosclerosis,gradual hearing loss; tinnitus,tinnitus,,Moderate,abnormal bone growth in middle ear
Otosclerosis,gradual hearing loss; tinnitus,gradual hearing loss,normal ear exam,Mild,abnormal bone growth in middle ear
Otosclerosis,gradual hearing loss; tinnitus,gradual hearing loss,dizziness (rare),Moderate,abnormal bone growth in middle ear
Otosclerosis,gradual hearing loss; tinnitus,tinnitus,,Mild,genetic predisposition
Otosclerosis,gradual hearing loss; tinnitus,gradual hearing loss,normal ear exam,Moderate,genetic predisposition
Otosclerosis,gradual hearing loss; tinnitus,gradual hearing loss; tinnitus,,Mild,abnormal bone growth in middle ear
Ménière’s Disease,episodic vertigo; fluctuating hearing loss; tinnitus,episodic vertigo; fluctuating hearing loss,nausea/vomiting; ear fullness,Severe,idiopathic inner ear fluid buildup
Ménière’s Disease,episodic vertigo; fluctuating hearing loss; tinnitus,fluctuating hearing loss; tinnitus,ear fullness,Moderate,idiopathic inner ear fluid buildup
Ménière’s Disease,episodic vertigo; fluctuating hearing loss; tinnitus,episodic vertigo; tinnitus,ear fullness,Moderate,"possible triggers (stress, salt)"
Ménière’s Disease,episodic vertigo; fluctuating hearing loss; tinnitus,fluctuating hearing loss; episodic vertigo,ear fullness; nausea/vomiting,Severe,"possible triggers (stress, salt)"
Ménière’s Disease,episodic vertigo; fluctuating hearing loss; tinnitus,episodic vertigo; fluctuating hearing loss,ear fullness,Moderate,idiopathic inner ear fluid buildup
Ménière’s Disease,episodic vertigo; fluctuating hearing loss; tinnitus,fluctuating hearing loss; tinnitus,nausea/vomiting,Moderate,"possible triggers (stress, salt)"
Ménière’s Disease,episodic vertigo; fluctuating hearing loss; tinnitus,episodic vertigo; tinnitus,ear fullness,Moderate,idiopathic inner ear fluid buildup
Ménière’s Disease,episodic vertigo; fluctuating hearing loss; tinnitus,fluctuating hearing loss; episodic vertigo,nausea/vomiting,Severe,idiopathic inner ear fluid buildup
Ménière’s Disease,episodic vertigo; fluctuating hearing loss; tinnitus,episodic vertigo; fluctuating hearing loss,ear fullness; nausea/vomiting,Severe,"possible triggers (stress, salt)"
Ménière’s Disease,episodic vertigo; fluctuating hearing loss; tinnitus,fluctuating hearing loss; tinnitus,,Moderate,idiopathic inner ear fluid buildup
Ménière’s Disease,episodic vertigo; fluctuating hearing loss; tinnitus,episodic vertigo; fluctuating hearing loss,ear fullness,Moderate,"possible triggers (stress, salt)"
